NO,TEMP,RH,DATE,TIME
121,22.1,84.2,12/02/2025,12:02:01
122,22.2,85.1,12/02/2025,12:12:01
123,22.3,83.7,12/02/2025,12:22:01
124,22.4,76.5,12/02/2025,12:32:01
125,22.5,79.1,12/02/2025,12:42:01
126,22.5,79.6,12/02/2025,12:52:01
127,22.6,81.6,12/02/2025,13:02:01
128,22.7,82.9,12/02/2025,13:12:01
129,22.7,82.1,12/02/2025,13:22:01
130,22.7,83.0,12/02/2025,13:32:01
131,22.7,82.9,12/02/2025,13:42:01
132,22.7,82.8,12/02/2025,13:52:01
133,22.6,82.8,12/02/2025,14:02:01
134,22.6,82.4,12/02/2025,14:12:01
135,22.6,82.5,12/02/2025,14:22:01
136,22.6,82.5,12/02/2025,14:32:01
137,22.7,82.6,12/02/2025,14:42:01
138,22.7,82.1,12/02/2025,14:52:01
139,22.7,81.5,12/02/2025,15:02:01
140,22.8,81.9,12/02/2025,15:12:01
141,22.8,81.9,12/02/2025,15:22:01
142,22.8,81.9,12/02/2025,15:32:01
143,22.8,81.8,12/02/2025,15:42:01
144,22.9,82.0,12/02/2025,15:52:01
145,22.9,81.8,12/02/2025,16:02:01
146,22.9,82.0,12/02/2025,16:12:01
147,22.9,82.0,12/02/2025,16:22:01
148,23.0,82.1,12/02/2025,16:32:01
149,23.1,82.0,12/02/2025,16:42:01
150,23.1,81.9,12/02/2025,16:52:01
151,23.2,81.9,12/02/2025,17:02:01
152,23.3,81.8,12/02/2025,17:12:01
153,23.3,81.3,12/02/2025,17:22:01
154,23.4,81.0,12/02/2025,17:32:01
155,23.3,80.9,12/02/2025,17:42:01
156,23.3,81.0,12/02/2025,17:52:01
157,23.3,81.1,12/02/2025,18:02:01
158,23.2,81.3,12/02/2025,18:12:01
159,23.2,81.5,12/02/2025,18:22:01
160,23.1,81.5,12/02/2025,18:32:01
161,23.0,81.6,12/02/2025,18:42:01
162,23.0,81.8,12/02/2025,18:52:01
163,23.0,81.6,12/02/2025,19:02:01
164,23.0,81.4,12/02/2025,19:12:01
165,22.9,81.4,12/02/2025,19:22:01
166,22.8,81.7,12/02/2025,19:32:01
167,22.8,81.8,12/02/2025,19:42:01
168,22.7,82.1,12/02/2025,19:52:01
169,22.6,81.8,12/02/2025,20:02:01
170,22.6,81.7,12/02/2025,20:12:01
171,22.5,82.2,12/02/2025,20:22:01
172,22.4,82.3,12/02/2025,20:32:01
173,22.3,82.8,12/02/2025,20:42:01
174,22.2,83.2,12/02/2025,20:52:01
175,22.2,83.4,12/02/2025,21:02:01
176,22.1,83.9,12/02/2025,21:12:01
177,22.1,84.0,12/02/2025,21:22:01
178,22.0,84.2,12/02/2025,21:32:01
179,22.0,84.5,12/02/2025,21:42:01
180,21.9,84.5,12/02/2025,21:52:01
181,21.9,84.6,12/02/2025,22:02:01
182,21.9,84.3,12/02/2025,22:12:01
183,21.9,84.4,12/02/2025,22:22:01
184,21.8,84.6,12/02/2025,22:32:01
185,21.8,84.8,12/02/2025,22:42:01
186,21.8,84.7,12/02/2025,22:52:01
187,21.8,85.0,12/02/2025,23:02:01
188,21.7,85.1,12/02/2025,23:12:01
189,21.7,85.1,12/02/2025,23:22:01
190,21.7,85.5,12/02/2025,23:32:01
191,21.7,85.5,12/02/2025,23:42:01
192,21.6,85.6,12/02/2025,23:52:01
193,21.6,85.7,13/02/2025,0:02:01
194,21.6,85.8,13/02/2025,0:12:01
195,21.6,85.9,13/02/2025,0:22:01
196,21.6,85.4,13/02/2025,0:32:01
197,21.6,85.6,13/02/2025,0:42:01
198,21.5,85.6,13/02/2025,0:52:01
199,21.5,85.6,13/02/2025,1:02:01
200,21.5,85.7,13/02/2025,1:12:01
201,21.5,85.8,13/02/2025,1:22:01
202,21.5,85.8,13/02/2025,1:32:01
203,21.4,85.9,13/02/2025,1:42:01
204,21.4,86.0,13/02/2025,1:52:01
205,21.4,86.1,13/02/2025,2:02:01
206,21.4,86.2,13/02/2025,2:12:01
207,21.4,86.2,13/02/2025,2:22:01
208,21.4,86.3,13/02/2025,2:32:01
209,21.4,86.4,13/02/2025,2:42:01
210,21.4,86.2,13/02/2025,2:52:01
211,21.4,86.0,13/02/2025,3:02:01
212,21.4,85.8,13/02/2025,3:12:01
213,21.4,85.8,13/02/2025,3:22:01
214,21.3,85.7,13/02/2025,3:32:01
